timestamp,timestamp_ms,asset,market_id,up_mid,up_bid,up_ask,down_mid,down_bid,down_ask,is_observed,collected_at
2026-01-06T03:21:49.027000+00:00,1767669709027,XRP,xrp-updown-15m-1767669300,0.355,0.35,0.36,0.635,0.63,0.64,1,2026-01-06 03:21:49.086686+00:00
2026-01-06T03:21:50.102000+00:00,1767669710102,XRP,xrp-updown-15m-1767669300,0.39,0.38,0.4,0.605,0.6,0.61,1,2026-01-06 03:21:50.116000+00:00
2026-01-06T03:21:51.868000+00:00,1767669711868,XRP,xrp-updown-15m-1767669300,0.4,0.39,0.41,0.6,0.59,0.61,1,2026-01-06 03:21:52.112993+00:00
2026-01-06T03:21:53.091000+00:00,1767669713091,XRP,xrp-updown-15m-1767669300,0.4,0.39,0.41,0.6,0.59,0.61,1,2026-01-06 03:21:53.131278+00:00
2026-01-06T03:21:54.106000+00:00,1767669714106,XRP,xrp-updown-15m-1767669300,0.38,0.37,0.39,0.62,0.61,0.63,1,2026-01-06 03:21:54.123724+00:00
2026-01-06T03:21:55.028000+00:00,1767669715028,XRP,xrp-updown-15m-1767669300,0.38,0.37,0.39,0.62,0.61,0.63,1,2026-01-06 03:21:55.114405+00:00
2026-01-06T03:21:56.964000+00:00,1767669716964,XRP,xrp-updown-15m-1767669300,0.37,0.36,0.38,0.63,0.62,0.64,1,2026-01-06 03:21:57.129792+00:00
2026-01-06T03:21:58.809000+00:00,1767669718809,XRP,xrp-updown-15m-1767669300,0.38,0.37,0.39,0.62,0.61,0.63,1,2026-01-06 03:21:59.246014+00:00
2026-01-06T03:22:00.187000+00:00,1767669720187,XRP,xrp-updown-15m-1767669300,0.38,0.37,0.39,0.62,0.61,0.63,1,2026-01-06 03:22:00.240295+00:00
2026-01-06T03:22:01.343000+00:00,1767669721343,XRP,xrp-updown-15m-1767669300,0.37,0.36,0.38,0.62,0.61,0.63,1,2026-01-06 03:22:01.357284+00:00
2026-01-06T03:22:02.336000+00:00,1767669722336,XRP,xrp-updown-15m-1767669300,0.375,0.37,0.38,0.625,0.62,0.63,1,2026-01-06 03:22:02.353960+00:00
2026-01-06T03:22:03.379000+00:00,1767669723379,XRP,xrp-updown-15m-1767669300,0.37,0.36,0.38,0.63,0.62,0.64,1,2026-01-06 03:22:03.698577+00:00
2026-01-06T03:22:04.683000+00:00,1767669724683,XRP,xrp-updown-15m-1767669300,0.37,0.36,0.38,0.63,0.62,0.64,1,2026-01-06 03:22:04.717439+00:00
2026-01-06T03:22:05.424000+00:00,1767669725424,XRP,xrp-updown-15m-1767669300,0.37,0.36,0.38,0.63,0.62,0.64,1,2026-01-06 03:22:05.718661+00:00
